13,,,,,,,1,48,,,1,1,1.0
62,,,1,46,1,46,1,45,1,46,1,1,1.0
66,,,1,45,3,42,1,44,1,45,3,1,1.5
1,,,,,1,43,1,35,3,46,3,1,1.6666666666666667
107,,,,,3,42,1,43,1,46,3,1,1.6666666666666667
88,5,45,1,46,1,45,1,46,1,47,5,1,1.8
118,5,45,1,46,1,45,1,47,1,49,5,1,1.8
97,5,44,1,49,1,44,1,45,1,45,5,1,1.8
122,5,41,1,48,1,48,1,47,1,48,5,1,1.8
45,5,46,1,46,1,46,1,49,1,46,5,1,1.8
60,5,47,1,45,1,44,1,43,1,43,5,1,1.8
71,5,45,1,48,1,45,1,45,1,45,5,1,1.8
72,5,45,1,47,1,47,1,46,1,44,5,1,1.8
108,5,48,1,47,1,37,1,46,1,47,5,1,1.8
83,5,44,1,43,1,45,1,45,1,46,5,1,1.8
15,5,44,1,46,,,1,46,1,49,5,1,2.0
128,5,39,1,46,,,1,48,1,49,5,1,2.0
23,5,45,1,44,1,46,,,1,45,5,1,2.0
135,,,,,3,41,1,44,,,3,1,2.0
48,5,45,1,47,,,1,46,1,46,5,1,2.0
70,5,45,,,1,44,1,46,1,47,5,1,2.0
79,5,44,1,41,1,44,1,43,,,5,1,2.0
100,,,1,45,5,43,1,41,1,47,5,1,2.0
132,5,44,1,42,3,45,1,45,1,45,5,1,2.2
133,5,46,1,47,3,46,1,46,1,49,5,1,2.2
140,5,45,1,40,3,46,1,44,1,42,5,1,2.2
49,5,47,1,45,3,42,1,43,1,41,5,1,2.2
76,5,49,1,44,3,45,1,46,1,45,5,1,2.2
101,5,46,1,43,3,43,1,44,1,46,5,1,2.2
85,5,42,3,44,1,45,1,43,1,44,5,1,2.2
89,5,40,1,46,1,47,,,,,5,1,2.3333333333333335
12,5,42,1,30,,,,,1,30,5,1,2.3333333333333335
14,5,47,,,1,49,,,1,46,5,1,2.3333333333333335
19,5,47,1,50,1,48,,,,,5,1,2.3333333333333335
32,5,45,1,49,,,,,1,43,5,1,2.3333333333333335
47,5,47,,,,,1,44,1,47,5,1,2.3333333333333335
3,5,35,1,46,1,47,3,47,,,5,1,2.5
129,,,1,13,3,44,1,24,5,33,5,1,2.5
39,5,44,1,48,1,44,3,44,,,5,1,2.5
40,5,10,1,47,3,31,1,25,,,5,1,2.5
90,5,45,1,45,3,44,3,45,1,45,5,1,2.6
91,5,33,1,47,5,44,1,45,1,46,5,1,2.6
